Left Bank: 0 Chickens, 0 Wolves, 0 Boat
Right Bank: 100 Chickens, 97 Wolves, 1 Boat

Left Bank: 1 Chickens, 1 Wolves, 1 Boat
Right Bank: 99 Chickens, 96 Wolves, 0 Boat

Left Bank: 1 Chickens, 0 Wolves, 0 Boat
Right Bank: 99 Chickens, 97 Wolves, 1 Boat

Left Bank: 2 Chickens, 1 Wolves, 1 Boat
Right Bank: 98 Chickens, 96 Wolves, 0 Boat

Left Bank: 1 Chickens, 1 Wolves, 0 Boat
Right Bank: 99 Chickens, 96 Wolves, 1 Boat

Left Bank: 3 Chickens, 1 Wolves, 1 Boat
Right Bank: 97 Chickens, 96 Wolves, 0 Boat

Left Bank: 2 Chickens, 0 Wolves, 0 Boat
Right Bank: 98 Chickens, 97 Wolves, 1 Boat

Left Bank: 2 Chickens, 2 Wolves, 1 Boat
Right Bank: 98 Chickens, 95 Wolves, 0 Boat

Left Bank: 2 Chickens, 1 Wolves, 0 Boat
Right Bank: 98 Chickens, 96 Wolves, 1 Boat

Left Bank: 4 Chickens, 1 Wolves, 1 Boat
Right Bank: 96 Chickens, 96 Wolves, 0 Boat

Left Bank: 3 Chickens, 0 Wolves, 0 Boat
Right Bank: 97 Chickens, 97 Wolves, 1 Boat

Left Bank: 3 Chickens, 2 Wolves, 1 Boat
Right Bank: 97 Chickens, 95 Wolves, 0 Boat

Left Bank: 2 Chickens, 2 Wolves, 0 Boat
Right Bank: 98 Chickens, 95 Wolves, 1 Boat

Left Bank: 4 Chickens, 2 Wolves, 1 Boat
Right Bank: 96 Chickens, 95 Wolves, 0 Boat

Left Bank: 3 Chickens, 1 Wolves, 0 Boat
Right Bank: 97 Chickens, 96 Wolves, 1 Boat

Left Bank: 3 Chickens, 3 Wolves, 1 Boat
Right Bank: 97 Chickens, 94 Wolves, 0 Boat

Left Bank: 3 Chickens, 2 Wolves, 0 Boat
Right Bank: 97 Chickens, 95 Wolves, 1 Boat

Left Bank: 5 Chickens, 2 Wolves, 1 Boat
Right Bank: 95 Chickens, 95 Wolves, 0 Boat

Left Bank: 4 Chickens, 1 Wolves, 0 Boat
Right Bank: 96 Chickens, 96 Wolves, 1 Boat

Left Bank: 4 Chickens, 3 Wolves, 1 Boat
Right Bank: 96 Chickens, 94 Wolves, 0 Boat

Left Bank: 3 Chickens, 3 Wolves, 0 Boat
Right Bank: 97 Chickens, 94 Wolves, 1 Boat

Left Bank: 5 Chickens, 3 Wolves, 1 Boat
Right Bank: 95 Chickens, 94 Wolves, 0 Boat

Left Bank: 4 Chickens, 2 Wolves, 0 Boat
Right Bank: 96 Chickens, 95 Wolves, 1 Boat

Left Bank: 4 Chickens, 4 Wolves, 1 Boat
Right Bank: 96 Chickens, 93 Wolves, 0 Boat

Left Bank: 4 Chickens, 3 Wolves, 0 Boat
Right Bank: 96 Chickens, 94 Wolves, 1 Boat

Left Bank: 6 Chickens, 3 Wolves, 1 Boat
Right Bank: 94 Chickens, 94 Wolves, 0 Boat

Left Bank: 5 Chickens, 2 Wolves, 0 Boat
Right Bank: 95 Chickens, 95 Wolves, 1 Boat

Left Bank: 5 Chickens, 4 Wolves, 1 Boat
Right Bank: 95 Chickens, 93 Wolves, 0 Boat

Left Bank: 4 Chickens, 4 Wolves, 0 Boat
Right Bank: 96 Chickens, 93 Wolves, 1 Boat

Left Bank: 6 Chickens, 4 Wolves, 1 Boat
Right Bank: 94 Chickens, 93 Wolves, 0 Boat

Left Bank: 5 Chickens, 3 Wolves, 0 Boat
Right Bank: 95 Chickens, 94 Wolves, 1 Boat

Left Bank: 5 Chickens, 5 Wolves, 1 Boat
Right Bank: 95 Chickens, 92 Wolves, 0 Boat

Left Bank: 5 Chickens, 4 Wolves, 0 Boat
Right Bank: 95 Chickens, 93 Wolves, 1 Boat

Left Bank: 7 Chickens, 4 Wolves, 1 Boat
Right Bank: 93 Chickens, 93 Wolves, 0 Boat

Left Bank: 6 Chickens, 3 Wolves, 0 Boat
Right Bank: 94 Chickens, 94 Wolves, 1 Boat

Left Bank: 6 Chickens, 5 Wolves, 1 Boat
Right Bank: 94 Chickens, 92 Wolves, 0 Boat

Left Bank: 5 Chickens, 5 Wolves, 0 Boat
Right Bank: 95 Chickens, 92 Wolves, 1 Boat

Left Bank: 7 Chickens, 5 Wolves, 1 Boat
Right Bank: 93 Chickens, 92 Wolves, 0 Boat

Left Bank: 6 Chickens, 4 Wolves, 0 Boat
Right Bank: 94 Chickens, 93 Wolves, 1 Boat

Left Bank: 6 Chickens, 6 Wolves, 1 Boat
Right Bank: 94 Chickens, 91 Wolves, 0 Boat

Left Bank: 6 Chickens, 5 Wolves, 0 Boat
Right Bank: 94 Chickens, 92 Wolves, 1 Boat

Left Bank: 8 Chickens, 5 Wolves, 1 Boat
Right Bank: 92 Chickens, 92 Wolves, 0 Boat

Left Bank: 7 Chickens, 4 Wolves, 0 Boat
Right Bank: 93 Chickens, 93 Wolves, 1 Boat

Left Bank: 7 Chickens, 6 Wolves, 1 Boat
Right Bank: 93 Chickens, 91 Wolves, 0 Boat

Left Bank: 6 Chickens, 6 Wolves, 0 Boat
Right Bank: 94 Chickens, 91 Wolves, 1 Boat

Left Bank: 8 Chickens, 6 Wolves, 1 Boat
Right Bank: 92 Chickens, 91 Wolves, 0 Boat

Left Bank: 7 Chickens, 5 Wolves, 0 Boat
Right Bank: 93 Chickens, 92 Wolves, 1 Boat

Left Bank: 7 Chickens, 7 Wolves, 1 Boat
Right Bank: 93 Chickens, 90 Wolves, 0 Boat

Left Bank: 7 Chickens, 6 Wolves, 0 Boat
Right Bank: 93 Chickens, 91 Wolves, 1 Boat

Left Bank: 9 Chickens, 6 Wolves, 1 Boat
Right Bank: 91 Chickens, 91 Wolves, 0 Boat

Left Bank: 8 Chickens, 5 Wolves, 0 Boat
Right Bank: 92 Chickens, 92 Wolves, 1 Boat

Left Bank: 8 Chickens, 7 Wolves, 1 Boat
Right Bank: 92 Chickens, 90 Wolves, 0 Boat

Left Bank: 7 Chickens, 7 Wolves, 0 Boat
Right Bank: 93 Chickens, 90 Wolves, 1 Boat

Left Bank: 9 Chickens, 7 Wolves, 1 Boat
Right Bank: 91 Chickens, 90 Wolves, 0 Boat

Left Bank: 8 Chickens, 6 Wolves, 0 Boat
Right Bank: 92 Chickens, 91 Wolves, 1 Boat

Left Bank: 8 Chickens, 8 Wolves, 1 Boat
Right Bank: 92 Chickens, 89 Wolves, 0 Boat

Left Bank: 8 Chickens, 7 Wolves, 0 Boat
Right Bank: 92 Chickens, 90 Wolves, 1 Boat

Left Bank: 10 Chickens, 7 Wolves, 1 Boat
Right Bank: 90 Chickens, 90 Wolves, 0 Boat

Left Bank: 9 Chickens, 6 Wolves, 0 Boat
Right Bank: 91 Chickens, 91 Wolves, 1 Boat

Left Bank: 9 Chickens, 8 Wolves, 1 Boat
Right Bank: 91 Chickens, 89 Wolves, 0 Boat

Left Bank: 8 Chickens, 8 Wolves, 0 Boat
Right Bank: 92 Chickens, 89 Wolves, 1 Boat

Left Bank: 10 Chickens, 8 Wolves, 1 Boat
Right Bank: 90 Chickens, 89 Wolves, 0 Boat

Left Bank: 9 Chickens, 7 Wolves, 0 Boat
Right Bank: 91 Chickens, 90 Wolves, 1 Boat

Left Bank: 9 Chickens, 9 Wolves, 1 Boat
Right Bank: 91 Chickens, 88 Wolves, 0 Boat

Left Bank: 9 Chickens, 8 Wolves, 0 Boat
Right Bank: 91 Chickens, 89 Wolves, 1 Boat

Left Bank: 11 Chickens, 8 Wolves, 1 Boat
Right Bank: 89 Chickens, 89 Wolves, 0 Boat

Left Bank: 10 Chickens, 7 Wolves, 0 Boat
Right Bank: 90 Chickens, 90 Wolves, 1 Boat

Left Bank: 10 Chickens, 9 Wolves, 1 Boat
Right Bank: 90 Chickens, 88 Wolves, 0 Boat

Left Bank: 9 Chickens, 9 Wolves, 0 Boat
Right Bank: 91 Chickens, 88 Wolves, 1 Boat

Left Bank: 11 Chickens, 9 Wolves, 1 Boat
Right Bank: 89 Chickens, 88 Wolves, 0 Boat

Left Bank: 10 Chickens, 8 Wolves, 0 Boat
Right Bank: 90 Chickens, 89 Wolves, 1 Boat

Left Bank: 10 Chickens, 10 Wolves, 1 Boat
Right Bank: 90 Chickens, 87 Wolves, 0 Boat

Left Bank: 10 Chickens, 9 Wolves, 0 Boat
Right Bank: 90 Chickens, 88 Wolves, 1 Boat

Left Bank: 12 Chickens, 9 Wolves, 1 Boat
Right Bank: 88 Chickens, 88 Wolves, 0 Boat

Left Bank: 11 Chickens, 8 Wolves, 0 Boat
Right Bank: 89 Chickens, 89 Wolves, 1 Boat

Left Bank: 11 Chickens, 10 Wolves, 1 Boat
Right Bank: 89 Chickens, 87 Wolves, 0 Boat

Left Bank: 10 Chickens, 10 Wolves, 0 Boat
Right Bank: 90 Chickens, 87 Wolves, 1 Boat

Left Bank: 12 Chickens, 10 Wolves, 1 Boat
Right Bank: 88 Chickens, 87 Wolves, 0 Boat

Left Bank: 11 Chickens, 9 Wolves, 0 Boat
Right Bank: 89 Chickens, 88 Wolves, 1 Boat

Left Bank: 11 Chickens, 11 Wolves, 1 Boat
Right Bank: 89 Chickens, 86 Wolves, 0 Boat

Left Bank: 11 Chickens, 10 Wolves, 0 Boat
Right Bank: 89 Chickens, 87 Wolves, 1 Boat

Left Bank: 13 Chickens, 10 Wolves, 1 Boat
Right Bank: 87 Chickens, 87 Wolves, 0 Boat

